Iteration,wt,bias,mse_loss
1,0,0,303.7143
2,1.1971714,0.34285712,170.84312
3,2.0500102,0.592695,103.17402
4,2.6571512,0.77615607,68.70278
5,3.0889757,0.9122511,51.134357
6,3.3957036,1.0145452,42.172077
7,3.61317,1.0927178,37.591644
8,3.7669444,1.1536756,35.242275
9,3.8752723,1.2023468,34.028877
10,3.9511726,1.2422482,33.39388
11,4.003935,1.2758888,33.053394
12,4.0401883,1.3050593,32.86288
13,4.064662,1.3310372,32.74875
14,4.0807314,1.3547341,32.67352
15,4.0908046,1.3768004,32.618122
16,4.0966,1.3977005,32.57284
17,4.099344,1.4177655,32.532722
18,4.0999107,1.4372317,32.49526
19,4.0989256,1.4562677,32.459175
20,4.096833,1.474994,32.423794
21,4.0939517,1.4934963,32.388798
22,4.090508,1.5118359,32.35401
23,4.0866637,1.5300566,32.31936
24,4.082535,1.5481895,32.284794
25,4.078203,1.566257,32.25029
26,4.0737276,1.5842749,32.21583
27,4.0691504,1.6022545,32.181423
28,4.0645013,1.620204,32.147053
29,4.0598016,1.6381291,32.112724
30,4.055067,1.656034,32.078438
31,4.0503078,1.6739215,32.04418
32,4.0455317,1.6917937,32.009968
33,4.040745,1.7096523,31.975796
34,4.0359507,1.7274982,31.94166
35,4.0311522,1.7453322,31.907566
36,4.0263515,1.763155,31.8735
37,4.02155,1.7809668,31.839472
38,4.016749,1.7987678,31.805492
39,4.011948,1.8165585,31.771545
40,4.0071487,1.8343388,31.737638
41,4.0023513,1.852109,31.70377
42,3.997556,1.869869,31.669939
43,3.9927628,1.8876189,31.636143
44,3.987972,1.9053588,31.60239
45,3.9831836,1.9230887,31.568668
46,3.9783976,1.9408087,31.534994
47,3.9736142,1.9585186,31.501347
48,3.9688334,1.9762187,31.467743
49,3.9640553,1.9939089,31.434174
50,3.9592798,2.011589,31.400644
51,3.9545069,2.0292594,31.367144
52,3.9497368,2.0469198,31.333693
53,3.9449692,2.0645704,31.300276
54,3.9402044,2.082211,31.266895
55,3.9354422,2.0998418,31.233555
56,3.9306827,2.1174626,31.200247
57,3.9259257,2.1350737,31.16698
58,3.9211714,2.152675,31.133753
59,3.9164197,2.1702662,31.100557
60,3.9116707,2.1878476,31.067396
61,3.9069245,2.2054193,31.034275
62,3.902181,2.2229812,31.001192
63,3.89744,2.240533,30.968155
64,3.8927016,2.2580752,30.93514
65,3.887966,2.2756076,30.902174
66,3.8832328,2.2931302,30.869236
67,3.8785024,2.310643,30.836334
68,3.8737745,2.328146,30.803476
69,3.8690493,2.3456392,30.770655
70,3.8643267,2.3631225,30.737867
71,3.859607,2.380596,30.70511
72,3.8548899,2.3980596,30.672398
73,3.8501754,2.4155135,30.639725
74,3.8454635,2.4329576,30.607075
75,3.8407543,2.4503922,30.574476
76,3.8360476,2.467817,30.541904
77,3.8313437,2.485232,30.509373
78,3.8266423,2.5026374,30.476881
79,3.8219435,2.520033,30.444422
80,3.8172474,2.5374186,30.411999
81,3.812554,2.5547945,30.37961
82,3.807863,2.572161,30.34726
83,3.8031747,2.5895176,30.314943
84,3.798489,2.6068645,30.282667
85,3.793806,2.6242015,30.250423
86,3.7891257,2.641529,30.21822
87,3.7844481,2.6588469,30.18605
88,3.779773,2.6761549,30.153917
89,3.7751005,2.6934533,30.121813
90,3.7704306,2.710742,30.089756
91,3.7657633,2.7280211,30.057734
92,3.7610986,2.7452905,30.02574
93,3.7564366,2.76255,29.993788
94,3.7517772,2.7798002,29.961868
95,3.7471204,2.7970405,29.929989
96,3.7424662,2.8142712,29.898144
97,3.7378147,2.8314922,29.866323
98,3.7331657,2.8487036,29.834553
99,3.7285192,2.8659055,29.802813
100,3.7238753,2.8830976,29.771107
101,3.719234,2.9002802,29.73944
102,3.7145953,2.9174533,29.707804
103,3.7099593,2.9346166,29.676199
104,3.7053258,2.9517703,29.64464
105,3.700695,2.9689145,29.613115
106,3.6960669,2.986049,29.581629
107,3.6914413,3.0031738,29.550167
108,3.6868184,3.0202892,29.518742
109,3.6821978,3.037395,29.487354
110,3.6775799,3.0544913,29.456005
111,3.6729646,3.071578,29.424686
112,3.668352,3.088655,29.393406
113,3.6637418,3.1057224,29.362164
114,3.6591341,3.1227803,29.330948
115,3.654529,3.1398287,29.29977
116,3.6499267,3.1568675,29.26863
117,3.6453269,3.1738968,29.237522
118,3.6407297,3.1909165,29.206453
119,3.636135,3.2079268,29.175417
120,3.631543,3.2249274,29.144413
121,3.6269534,3.2419186,29.113445
122,3.6223664,3.2589004,29.08251
123,3.617782,3.2758727,29.05161
124,3.6132002,3.2928355,29.020752
125,3.608621,3.3097887,28.989918
126,3.6040442,3.3267324,28.95912
127,3.5994701,3.3436668,28.928362
128,3.5948985,3.3605917,28.897633
129,3.5903294,3.377507,28.866943
130,3.585763,3.3944128,28.836285
131,3.5811992,3.4113092,28.805662
132,3.5766377,3.4281962,28.775076
133,3.572079,3.4450736,28.744522
134,3.5675228,3.4619417,28.713999
135,3.562969,3.4788003,28.683512
136,3.5584178,3.4956496,28.653063
137,3.5538692,3.5124893,28.622646
138,3.549323,3.5293195,28.592255
139,3.5447795,3.5461404,28.561907
140,3.5402386,3.5629518,28.53159
141,3.5357,3.5797539,28.50131
142,3.5311642,3.5965466,28.471066
143,3.5266309,3.61333,28.440844
144,3.5221,3.6301038,28.410664
145,3.5175717,3.6468682,28.380522
146,3.513046,3.6636233,28.350405
147,3.5085227,3.6803691,28.320324
148,3.504002,3.6971054,28.290283
149,3.4994838,3.7138324,28.260271
150,3.4949682,3.73055,28.230291
151,3.4904552,3.7472584,28.200346
152,3.4859445,3.7639573,28.170437
153,3.4814365,3.7806468,28.140558
154,3.476931,3.797327,28.110714
155,3.472428,3.813998,28.080898
156,3.4679275,3.8306596,28.05112
157,3.4634295,3.847312,28.021378
158,3.458934,3.863955,27.991665
159,3.454441,3.8805885,27.96199
160,3.4499507,3.8972127,27.932339
161,3.4454627,3.9138277,27.902727
162,3.4409773,3.9304333,27.873152
163,3.4364946,3.9470296,27.843601
164,3.4320142,3.9636166,27.814096
165,3.4275365,3.9801946,27.78461
166,3.4230611,3.9967632,27.755167
167,3.4185882,4.0133224,27.725756
168,3.4141178,4.0298724,27.696377
169,3.4096498,4.046413,27.667027
170,3.4051845,4.0629444,27.637716
171,3.4007218,4.079467,27.608429
172,3.3962615,4.0959797,27.579184
173,3.3918035,4.1124835,27.549961
174,3.3873482,4.1289783,27.520779
175,3.3828952,4.1454635,27.491627
176,3.378445,4.1619396,27.462511
177,3.373997,4.1784062,27.433428
178,3.3695517,4.194864,27.404373
179,3.3651087,4.2113123,27.375353
180,3.3606682,4.2277517,27.346361
181,3.3562303,4.2441816,27.317413
182,3.3517947,4.2606025,27.288483
183,3.3473618,4.2770143,27.259594
184,3.3429313,4.2934165,27.230734
185,3.3385034,4.3098097,27.201908
186,3.3340778,4.326194,27.173115
187,3.3296547,4.342569,27.144348
188,3.3252342,4.3589344,27.115622
189,3.320816,4.375291,27.086924
190,3.3164005,4.3916383,27.05826
191,3.3119874,4.4079766,27.029621
192,3.3075767,4.424306,27.001024
193,3.3031683,4.440626,26.972454
194,3.2987626,4.456937,26.943918
195,3.2943592,4.4732385,26.915407
196,3.2899585,4.489531,26.886938
197,3.2855601,4.5058146,26.8585
198,3.2811642,4.522089,26.830082
199,3.2767708,4.5383544,26.80171
200,3.2723799,4.5546107,26.773361
201,3.2679913,4.570858,26.745047
202,3.263605,4.587096,26.716757
203,3.2592216,4.603325,26.68851
204,3.2548404,4.6195445,26.660292
205,3.2504616,4.635755,26.632101
206,3.2460854,4.6519566,26.603945
207,3.2417116,4.668149,26.575819
208,3.2373402,4.6843324,26.547726
209,3.2329714,4.7005067,26.519667
210,3.228605,4.716672,26.491634
211,3.224241,4.732828,26.46364
212,3.2198794,4.7489753,26.43567
213,3.2155201,4.7651134,26.40773
214,3.2111635,4.781243,26.379827
215,3.2068093,4.7973633,26.35195
216,3.2024574,4.8134747,26.32411
217,3.198108,4.829577,26.296295
218,3.193761,4.84567,26.268515
219,3.1894164,4.8617544,26.240765
220,3.1850743,4.8778296,26.213047
221,3.1807346,4.8938956,26.18536
222,3.1763976,4.9099526,26.157701
223,3.1720626,4.926001,26.130077
224,3.1677303,4.9420404,26.102482
225,3.1634004,4.9580708,26.074915
226,3.1590729,4.974092,26.047384
227,3.1547477,4.990104,26.01988
228,3.150425,5.0061073,25.992405
229,3.1461048,5.022102,25.96497
230,3.141787,5.0380874,25.937557
231,3.1374717,5.054064,25.910177
232,3.1331587,5.070031,25.88283
233,3.128848,5.08599,25.855513
234,3.1245399,5.1019397,25.828226
235,3.120234,5.1178803,25.800966
236,3.1159306,5.133812,25.77374
237,3.1116295,5.149735,25.746548
238,3.107331,5.165649,25.719378
239,3.1030347,5.181554,25.692245
240,3.098741,5.19745,25.66514
241,3.0944498,5.2133374,25.638065
242,3.0901608,5.2292156,25.61102
243,3.0858743,5.2450852,25.584005
244,3.0815902,5.260946,25.557024
245,3.0773084,5.276798,25.53007
246,3.073029,5.2926407,25.503141
247,3.068752,5.3084745,25.476252
248,3.0644774,5.3243,25.449389
249,3.0602052,5.340116,25.42255
250,3.0559354,5.3559237,25.395752
251,3.051668,5.371722,25.368977
252,3.0474029,5.387512,25.342236
253,3.0431404,5.403293,25.315521
254,3.03888,5.4190655,25.288837
255,3.0346222,5.4348288,25.26218
256,3.0303667,5.4505835,25.235561
257,3.0261135,5.466329,25.208967
258,3.0218627,5.482066,25.1824
259,3.0176144,5.497794,25.155867
260,3.0133684,5.5135136,25.129362
261,3.0091248,5.529224,25.102888
262,3.0048835,5.5449257,25.07644
263,3.0006447,5.5606184,25.050022
264,2.9964082,5.5763025,25.023638
265,2.9921741,5.5919776,24.997282
266,2.9879425,5.607644,24.970951
267,2.9837132,5.623302,24.944654
268,2.9794862,5.638951,24.91839
269,2.9752617,5.654591,24.892147
270,2.9710395,5.6702228,24.86594
271,2.9668198,5.6858454,24.839762
272,2.9626021,5.7014594,24.813608
273,2.958387,5.717065,24.787489
274,2.954174,5.7326612,24.761393
275,2.9499636,5.748249,24.73533
276,2.9457555,5.7638283,24.709301
277,2.9415498,5.7793984,24.683285
278,2.9373465,5.79496,24.657316
279,2.9331455,5.810513,24.631367
280,2.9289467,5.8260574,24.60545
281,2.9247503,5.841593,24.579561
282,2.9205563,5.8571196,24.553701
283,2.9163647,5.8726377,24.527872
284,2.9121754,5.8881474,24.502071
285,2.9079885,5.903648,24.476297
286,2.903804,5.91914,24.450552
287,2.8996217,5.9346232,24.424835
288,2.8954418,5.950098,24.39915
289,2.8912642,5.9655643,24.373491
290,2.887089,5.981022,24.347858
291,2.8829162,5.9964705,24.322262
292,2.8787456,6.0119104,24.296686
293,2.8745773,6.027342,24.271147
294,2.8704114,6.0427647,24.245632
295,2.866248,6.058179,24.22014
296,2.8620868,6.0735846,24.194687
297,2.8579278,6.0889816,24.16926
298,2.8537712,6.10437,24.14386
299,2.849617,6.11975,24.11848
300,2.845465,6.1351213,24.09314
301,2.8413153,6.150484,24.067823
302,2.837168,6.1658382,24.042536
303,2.833023,6.181184,24.017277
304,2.8288803,6.1965203,23.992046
305,2.82474,6.2118487,23.96684
306,2.820602,6.2271686,23.941668
307,2.8164663,6.24248,23.916521
308,2.8123329,6.2577825,23.891405
309,2.8082018,6.2730765,23.866314
310,2.8040729,6.288362,23.841251
311,2.7999463,6.303639,23.816217
312,2.7958221,6.3189073,23.791212
313,2.7917004,6.334167,23.766235
314,2.7875807,6.349418,23.741283
315,2.7834635,6.3646607,23.716364
316,2.7793486,6.3798947,23.691467
317,2.775236,6.39512,23.6666
318,2.7711256,6.410337,23.641768
319,2.7670176,6.4255457,23.616953
320,2.762912,6.440746,23.592167
321,2.7588086,6.4559374,23.567413
322,2.7547076,6.4711204,23.54269
323,2.7506087,6.4862947,23.517986
324,2.7465122,6.5014606,23.493317
325,2.742418,6.5166183,23.468672
326,2.738326,6.5317674,23.444056
327,2.7342365,6.546908,23.419464
328,2.730149,6.56204,23.394907
329,2.726064,6.5771637,23.370367
330,2.7219813,6.592279,23.345865
331,2.7179008,6.6073856,23.321384
332,2.7138226,6.6224837,23.296932
333,2.7097466,6.6375737,23.272507
334,2.705673,6.652655,23.24811
