name,Date,Open,High,Low,Close,Volume
aapl,12/31/25,273.06,273.68,271.75,271.86,27293641
aapl,12/30/25,272.81,274.08,272.28,273.08,22139619
aapl,12/29/25,272.69,274.36,272.35,273.76,23715211
aapl,12/26/25,274.16,275.37,272.86,273.4,21521801
aapl,12/24/25,272.34,275.43,272.2,273.81,17910570
aapl,12/23/25,270.84,272.5,269.56,272.36,29642000
aapl,12/22/25,272.86,273.88,270.51,270.97,36571832
aapl,12/19/25,272.15,274.6,269.9,273.67,144632000
aapl,12/18/25,273.61,273.63,266.95,272.19,51630719
aapl,12/17/25,275.01,276.16,271.64,271.84,50138738
aapl,12/16/25,272.82,275.5,271.79,274.61,37648633
aapl,12/15/25,280.15,280.15,272.84,274.11,50409078
aapl,12/12/25,277.9,279.22,276.82,278.28,39532887
aapl,12/11/25,279.1,279.59,273.81,278.03,33247988
aapl,12/10/25,277.75,279.75,276.44,278.78,33038320
aapl,12/9/25,278.16,280.03,276.92,277.18,32193260
aapl,12/8/25,278.13,279.67,276.15,277.89,38211832
aapl,12/5/25,280.54,281.14,278.05,278.78,47265848
aapl,12/4/25,284.1,284.73,278.59,280.7,43989059
aapl,12/3/25,286.2,288.62,283.3,284.15,43538688
aapl,12/2/25,283,287.4,282.63,286.19,53669527
aapl,12/1/25,278.01,283.42,276.14,283.1,45497800
aapl,11/28/25,277.26,279,275.99,278.85,20132200
aapl,11/26/25,276.96,279.53,276.63,277.55,33431422
aapl,11/25/25,275.27,280.38,275.25,276.97,46914219
aapl,11/24/25,270.9,277,270.9,275.92,65585797
aapl,11/21/25,265.95,273.33,265.67,271.49,59030832
aapl,11/20/25,270.83,275.43,265.92,266.25,45823566
aapl,11/19/25,265.53,272.21,265.5,268.56,40424488
aapl,11/18/25,269.99,270.71,265.32,267.44,45677281
aapl,11/17/25,268.82,270.49,265.73,267.46,45018262
aapl,11/14/25,271.05,275.96,269.6,272.41,47431328
aapl,11/13/25,274.11,276.7,272.09,272.95,49602793
aapl,11/12/25,275,275.73,271.7,273.47,48397980
aapl,11/11/25,269.81,275.91,269.8,275.25,46208320
aapl,11/10/25,268.96,273.73,267.46,269.43,41312406
aapl,11/7/25,269.8,272.29,266.77,268.47,48227367
aapl,11/6/25,267.89,273.4,267.89,269.77,51204047
aapl,11/5/25,268.61,271.7,266.93,270.14,43683070
aapl,11/4/25,268.33,271.49,267.62,270.04,49274848
aapl,11/3/25,270.42,270.85,266.25,269.05,50194578
aapl,10/31/25,276.99,277.32,269.16,270.37,86167117
aapl,10/30/25,271.99,274.14,268.48,271.4,69886531
aapl,10/29/25,269.28,271.41,267.11,269.7,51086738
aapl,10/28/25,268.99,269.89,268.15,269,41534762
aapl,10/27/25,264.88,269.12,264.65,268.81,44888152
aapl,10/24/25,261.19,264.13,259.18,262.82,38253719
aapl,10/23/25,259.94,260.62,258.01,259.58,32754939
aapl,10/22/25,262.65,262.85,255.43,258.45,45015246
aapl,10/21/25,261.88,265.29,261.83,262.77,46695953
aapl,10/20/25,255.89,264.38,255.63,262.24,90483031
aapl,10/17/25,248.02,253.38,247.27,252.29,49146961
